120 434
18 103 1850832
59 94 10883391
35 36 6194059
15 49 6287549
88 71 7121025
86 58 5137214
102 31 1493798
35 32 11741582
75 82 6014912
24 91 6501264
55 91 2413677
21 62 11617528
117 10 6792346
39 84 1777234
51 26 9365388
10 108 7617529
13 75 518875
79 70 7800160
93 38 4784498
46 21 4929165
14 79 466129
84 116 9912025
51 66 8271371
86 75 10934065
37 32 89736
92 98 6088536
58 104 12005636
39 74 4012451
118 33 10824206
2 9 11345851
13 12 10476682
75 59 4039839
46 84 7552624
59 59 5983775
105 54 6767050
18 82 7730658
33 3 7413754
75 84 5004769
75 19 9644978
6 64 9491305
101 74 1610618
96 22 10115165
39 53 11386029
44 16 8799346
116 27 2108604
45 91 2610098
58 21 9941033
73 109 3366649
77 56 3679566
87 78 2051195
23 119 1756628
89 9 7339644
75 75 11752444
11 97 8283990
29 69 4760793
17 110 8196663
67 80 820820
12 104 9177952
94 65 5588327
109 104 10570727
41 16 9212067
80 27 3941174
24 118 7491242
50 8 4651402
58 15 11821621
75 71 1637748
24 119 10209359
68 1 5026971
19 62 1397975
82 20 181369
105 110 5502147
17 22 6115034
119 57 10331480
16 55 1555040
64 5 80691
11 17 10834881
60 2 3434563
3 57 4203975
97 103 7970188
72 117 2532367
110 82 3065189
16 5 8723915
42 119 8780091
100 115 5571072
41 45 8992076
81 77 4091913
14 111 1508845
100 104 3108946
42 22 1273221
37 84 216029
43 65 1130447
100 4 2148352
85 6 11075932
119 108 3289509
20 88 9782030
97 107 3287690
39 89 1824095
68 24 5273087
55 94 9209752
96 119 9312874
21 8 4184538
